Month,Alpha NW T-stat,Beta NW T-stat
01/05/1988,0.898163569,-1.939982582
01/06/1988,-0.855697933,4.529145464
01/07/1988,0.033991256,-0.298121757
01/08/1988,-0.337294747,-2.403803301
01/09/1988,0.132362699,0.578930981
01/10/1988,1.008937931,-2.527439828
01/11/1988,-0.971268741,-2.595848915
01/12/1988,-0.477517247,1.27625027
01/01/1989,1.7794165,1.684472359
01/02/1989,0.798592078,-0.763169055
01/03/1989,1.784691368,-1.428641735
01/04/1989,-0.240451299,1.572430735
01/05/1989,-0.135780288,0.824162916
01/06/1989,2.543000239,-4.078273993
01/07/1989,1.566588619,-0.867994372
01/08/1989,0.358855846,0.296415354
01/09/1989,-1.369973704,0.809247098
01/10/1989,-0.365223566,-1.721809549
01/11/1989,3.238526469,-3.80917929
01/12/1989,0.880226999,-1.518745555
01/01/1990,-1.157943778,-1.238424375
01/02/1990,2.195565374,-1.505807372
01/03/1990,-1.719612168,2.739683797
01/04/1990,-2.811297868,2.028836531
01/05/1990,0.055351592,0.843552778
01/06/1990,0.295546716,-0.238369714
01/07/1990,0.942420091,-1.820364937
01/08/1990,1.277370687,-4.295626009
01/09/1990,0.466859688,-2.420602943
01/10/1990,-1.018540229,-0.767627046
01/11/1990,-1.027881918,1.821808502
01/12/1990,0.24723517,-0.372861225
01/01/1991,-2.064681343,3.615734952
01/02/1991,0.649591599,2.198836081
01/03/1991,-3.617570212,6.141922592
01/04/1991,-0.749044175,1.230099292
01/05/1991,-1.006267233,1.424919282
01/06/1991,0.755575281,-2.108288931
01/07/1991,1.650616472,-0.674457646
01/08/1991,-0.094919064,0.496315561
01/09/1991,-0.667410341,0.718228646
01/10/1991,-1.113495192,1.355595051
01/11/1991,1.297605988,-2.626697038
01/12/1991,0.368730733,0.728808634
01/01/1992,-1.079568443,3.360765536
01/02/1992,0.744656979,0.200104811
01/03/1992,1.647126797,-2.148412491
01/04/1992,0.237533716,-1.050841532
01/05/1992,3.149090334,-3.911018638
01/06/1992,0.522520574,-2.543626153
01/07/1992,1.159757614,-0.621794936
01/08/1992,4.176766497,-6.045629456
01/09/1992,1.773803461,-1.39057405
01/10/1992,-3.108639445,3.632512968
01/11/1992,0.121923083,2.548234796
01/12/1992,0.00879236,1.346687648
01/01/1993,0.775916066,0.76861599
01/02/1993,2.929576809,-3.458174419
01/03/1993,1.722954055,-0.981816293
01/04/1993,0.177674299,-0.964097976
01/05/1993,1.485134837,0.238564243
01/06/1993,0.941450308,-0.662519523
01/07/1993,2.010904587,-1.590088592
01/08/1993,-0.930315389,3.25482766
01/09/1993,-0.945079525,1.779684885
01/10/1993,0.38090778,0.6934123
01/11/1993,-0.89378159,0.274805587
01/12/1993,1.15439384,-0.513010067
01/01/1994,2.342006678,-0.724110666
01/02/1994,-0.127706748,-0.650670816
01/03/1994,-1.260727553,-2.249300784
01/04/1994,5.054303577,-6.731061006
01/05/1994,0.51047224,-1.040087319
